cliente_id,mes_referencia,horas_contratadas,horas_consumidas,horas_excedentes,faturamento_extra
CLI-001,2026-02,120,26.3,0.0,0.0
CLI-002,2026-02,80,28.1,0.0,0.0
CLI-003,2026-02,160,19.7,0.0,0.0
CLI-004,2026-02,60,21.4,0.0,0.0
CLI-005,2026-02,200,39.6,0.0,0.0
CLI-006,2026-02,40,18.2,0.0,0.0
CLI-007,2026-02,50,12.5,0.0,0.0
CLI-008,2026-02,100,28.2,0.0,0.0
CLI-009,2026-02,30,20.4,0.0,0.0
CLI-010,2026-02,150,25.1,0.0,0.0
CLI-001,2026-03,120,40.3,0.0,0.0
CLI-002,2026-03,80,21.2,0.0,0.0
CLI-003,2026-03,160,7.3,0.0,0.0
CLI-004,2026-03,60,23.1,0.0,0.0
CLI-005,2026-03,200,12.9,0.0,0.0
CLI-006,2026-03,40,45.9,5.9,1475.0
CLI-007,2026-03,50,29.3,0.0,0.0
CLI-008,2026-03,100,32.5,0.0,0.0
CLI-009,2026-03,30,39.3,9.3,1860.0
CLI-010,2026-03,150,45.1,0.0,0.0
CLI-001,2026-04,120,32.0,0.0,0.0
CLI-002,2026-04,80,80.8,0.8,160.0
CLI-003,2026-04,160,23.8,0.0,0.0
CLI-004,2026-04,60,40.1,0.0,0.0
CLI-005,2026-04,200,24.6,0.0,0.0
CLI-006,2026-04,40,23.4,0.0,0.0
CLI-007,2026-04,50,27.4,0.0,0.0
CLI-008,2026-04,100,38.2,0.0,0.0
CLI-009,2026-04,30,32.0,2.0,400.0
CLI-010,2026-04,150,34.0,0.0,0.0
CLI-001,2026-05,120,33.5,0.0,0.0
CLI-002,2026-05,80,36.2,0.0,0.0
CLI-003,2026-05,160,53.2,0.0,0.0
CLI-004,2026-05,60,33.6,0.0,0.0
CLI-005,2026-05,200,19.0,0.0,0.0
CLI-006,2026-05,40,31.3,0.0,0.0
CLI-007,2026-05,50,37.6,0.0,0.0
CLI-008,2026-05,100,27.8,0.0,0.0
CLI-009,2026-05,30,22.5,0.0,0.0
CLI-010,2026-05,150,19.6,0.0,0.0
CLI-001,2026-06,120,22.0,0.0,0.0
CLI-002,2026-06,80,37.7,0.0,0.0
CLI-003,2026-06,160,21.2,0.0,0.0
CLI-004,2026-06,60,42.7,0.0,0.0
CLI-005,2026-06,200,21.1,0.0,0.0
CLI-006,2026-06,40,43.6,3.6,900.0
CLI-007,2026-06,50,43.6,0.0,0.0
CLI-008,2026-06,100,21.5,0.0,0.0
CLI-009,2026-06,30,27.4,0.0,0.0
CLI-010,2026-06,150,30.9,0.0,0.0
CLI-001,2026-07,120,28.3,0.0,0.0
CLI-002,2026-07,80,24.9,0.0,0.0
CLI-003,2026-07,160,14.1,0.0,0.0
CLI-004,2026-07,60,44.8,0.0,0.0
CLI-005,2026-07,200,33.7,0.0,0.0
CLI-006,2026-07,40,48.4,8.4,2100.0
CLI-007,2026-07,50,50.5,0.5,90.0
CLI-008,2026-07,100,26.8,0.0,0.0
CLI-009,2026-07,30,27.8,0.0,0.0
CLI-010,2026-07,150,22.1,0.0,0.0
