ticket_id,cliente_id,titulo,categoria,prioridade,data_abertura,data_primeira_resposta,data_solucao,sla_resposta_alvo_hs,sla_solucao_alvo_hs,horas_consumidas,status,consultor,cumpre_sla_resposta,cumpre_sla_solucao
TCK-1001,CLI-009,Erro de autenticação no portal do cliente,Suporte & Erros,Alta,2026-04-12 11:14:00,2026-04-12 11:30:12,2026-04-12 15:22:24,2,8,2.3,Fechado,Beatriz Lima,True,True
TCK-1002,CLI-001,Erro de autenticação no portal do cliente,Suporte & Erros,Crítica,2026-03-28 11:32:00,2026-03-28 12:05:00,,1,4,3.0,Aguardando Cliente,Ana Silva,True,
TCK-1003,CLI-002,Orientação sobre parametrização do sistema,Dúvidas Operacionais,Alta,2026-05-26 17:17:00,2026-05-26 17:23:36,2026-05-26 22:24:12,2,8,1.5,Fechado,Carlos Oliveira,True,True
TCK-1004,CLI-002,Implementação de filtro avançado na listagem,Desenvolvimento & Melhoria,Média,2026-02-27 09:24:00,2026-02-27 12:28:12,2026-02-28 03:27:36,4,24,9.2,Fechado,Lucas Mendes,True,True
TCK-1005,CLI-007,Esclarecimento sobre regra de encerramento mensal,Dúvidas Operacionais,Alta,2026-02-21 16:18:00,2026-02-21 17:27:00,2026-02-22 08:57:00,2,8,2.6,Fechado,Mariana Costa,True,False
TCK-1006,CLI-009,Lentidão na geração de relatórios mensais,Suporte & Erros,Média,2026-02-21 11:55:00,2026-02-21 12:59:12,2026-02-21 20:36:24,4,24,1.6,Fechado,Lucas Mendes,True,True
TCK-1007,CLI-005,Desenvolvimento de exportação em Excel customizada,Desenvolvimento & Melhoria,Baixa,2026-07-25 18:04:00,2026-07-25 19:23:12,2026-07-26 02:23:48,8,48,5.5,Fechado,Beatriz Lima,True,True
TCK-1008,CLI-009,Como redefinir permissões de grupo de usuários,Dúvidas Operacionais,Alta,2026-04-25 08:14:00,2026-04-25 09:42:12,2026-04-25 10:16:24,2,8,3.2,Fechado,Beatriz Lima,True,True
TCK-1009,CLI-006,Dúvida na importação do arquivo CSV de pedidos,Dúvidas Operacionais,Média,2026-07-18 15:25:00,2026-07-18 23:25:00,2026-07-19 01:29:12,4,24,2.7,Fechado,Carlos Oliveira,False,True
TCK-1010,CLI-003,Dúvida na importação do arquivo CSV de pedidos,Dúvidas Operacionais,Crítica,2026-06-30 14:57:00,2026-06-30 15:20:24,2026-06-30 20:17:24,1,4,4.0,Fechado,Beatriz Lima,True,False
TCK-1011,CLI-002,Erro de autenticação no portal do cliente,Suporte & Erros,Alta,2026-07-11 10:50:00,2026-07-11 11:56:36,2026-07-11 15:39:12,2,8,1.9,Fechado,Carlos Oliveira,True,True
TCK-1012,CLI-008,Revisão das regras de negócio do contrato,Consultoria & Treinamento,Alta,2026-07-25 09:43:00,2026-07-25 14:01:00,2026-07-25 15:08:12,2,8,3.8,Fechado,Ana Silva,False,True
TCK-1013,CLI-006,Automação do envio de notificações por email,Desenvolvimento & Melhoria,Média,2026-04-09 16:48:00,2026-04-09 20:05:24,2026-04-11 07:22:48,4,24,8.2,Fechado,Ana Silva,True,False
TCK-1014,CLI-009,Como redefinir permissões de grupo de usuários,Dúvidas Operacionais,Alta,2026-05-07 10:34:00,2026-05-07 15:20:48,2026-05-08 03:31:00,2,8,2.0,Fechado,Carlos Oliveira,False,False
TCK-1015,CLI-002,Falha na integração via API com ERP,Suporte & Erros,Média,2026-04-03 08:15:00,2026-04-03 11:39:36,2026-04-03 20:36:00,4,24,0.7,Fechado,Lucas Mendes,True,True
TCK-1016,CLI-004,Como redefinir permissões de grupo de usuários,Dúvidas Operacionais,Alta,2026-07-19 15:35:00,2026-07-19 16:35:00,2026-07-19 22:34:24,2,8,3.3,Fechado,Carlos Oliveira,True,True
TCK-1017,CLI-003,Desenvolvimento de exportação em Excel customizada,Desenvolvimento & Melhoria,Média,2026-07-22 18:23:00,2026-07-22 20:17:36,2026-07-23 00:52:24,4,24,5.0,Fechado,Mariana Costa,True,True
TCK-1018,CLI-007,Como redefinir permissões de grupo de usuários,Dúvidas Operacionais,Alta,2026-03-29 08:04:00,2026-03-29 08:16:00,,2,8,0.7,Em Andamento,Rodrigo Santos,True,
TCK-1019,CLI-001,Falha na integração via API com ERP,Suporte & Erros,Alta,2026-06-12 11:17:00,2026-06-12 11:44:36,2026-06-12 18:03:48,2,8,2.2,Fechado,Ana Silva,True,True
TCK-1020,CLI-007,Configuração de certificado SSL e HTTPS,Infraestrutura & Cloud,Alta,2026-05-16 11:06:00,2026-05-16 11:55:48,2026-05-16 15:00:36,2,8,2.7,Fechado,Mariana Costa,True,True
TCK-1021,CLI-006,Erro de autenticação no portal do cliente,Suporte & Erros,Alta,2026-04-28 09:15:00,2026-04-28 10:15:36,2026-04-28 11:33:36,2,8,1.9,Fechado,Mariana Costa,True,True
TCK-1022,CLI-006,Bug na exibição do gráfico de vendas,Suporte & Erros,Alta,2026-02-26 08:41:00,2026-02-26 13:13:24,2026-02-27 06:05:00,2,8,3.0,Fechado,Rodrigo Santos,False,False
TCK-1023,CLI-009,Automação do envio de notificações por email,Desenvolvimento & Melhoria,Baixa,2026-06-04 11:55:00,2026-06-04 12:26:12,,8,48,1.8,Aguardando Cliente,Mariana Costa,True,
TCK-1024,CLI-009,Backup e restauração de ambiente de testes,Infraestrutura & Cloud,Baixa,2026-04-15 14:44:00,2026-04-16 10:41:00,,8,48,2.4,Em Andamento,Mariana Costa,False,
TCK-1025,CLI-005,Configuração de certificado SSL e HTTPS,Infraestrutura & Cloud,Média,2026-04-17 11:03:00,2026-04-17 13:03:00,2026-04-17 14:21:36,4,24,2.3,Fechado,Carlos Oliveira,True,True
TCK-1026,CLI-010,Como redefinir permissões de grupo de usuários,Dúvidas Operacionais,Média,2026-06-11 09:54:00,2026-06-11 12:04:48,2026-06-11 16:48:00,4,24,0.9,Fechado,Ana Silva,True,True
TCK-1027,CLI-002,Como redefinir permissões de grupo de usuários,Dúvidas Operacionais,Média,2026-07-03 08:39:00,2026-07-03 11:03:00,2026-07-03 17:15:36,4,24,1.3,Fechado,Rodrigo Santos,True,True
TCK-1028,CLI-001,Alinhamento estratégico para migração de sistema,Consultoria & Treinamento,Média,2026-05-13 10:42:00,2026-05-13 12:24:00,2026-05-16 03:16:48,4,24,2.1,Fechado,Lucas Mendes,True,False
TCK-1029,CLI-009,Esclarecimento sobre regra de encerramento mensal,Dúvidas Operacionais,Média,2026-06-18 11:32:00,2026-06-18 14:54:12,2026-06-21 01:48:12,4,24,1.6,Fechado,Ana Silva,True,False
TCK-1030,CLI-002,Automação do envio de notificações por email,Desenvolvimento & Melhoria,Média,2026-04-19 17:51:00,2026-04-19 17:58:48,2026-04-20 00:33:00,4,24,8.5,Fechado,Rodrigo Santos,True,True
TCK-1031,CLI-006,Desenvolvimento de exportação em Excel customizada,Desenvolvimento & Melhoria,Média,2026-02-28 16:09:00,2026-02-28 18:22:12,2026-02-28 22:28:12,4,24,8.2,Fechado,Ana Silva,True,True
TCK-1032,CLI-001,Revisão das regras de negócio do contrato,Consultoria & Treinamento,Baixa,2026-04-06 08:05:00,2026-04-06 14:04:24,2026-04-07 02:36:48,8,48,2.8,Fechado,Mariana Costa,True,True
TCK-1033,CLI-004,Alinhamento estratégico para migração de sistema,Consultoria & Treinamento,Alta,2026-05-25 16:45:00,2026-05-25 16:52:12,2026-05-25 23:09:00,2,8,7.4,Fechado,Beatriz Lima,True,True
TCK-1034,CLI-006,Esclarecimento sobre regra de encerramento mensal,Dúvidas Operacionais,Crítica,2026-06-30 16:09:00,2026-06-30 16:16:48,,1,4,1.8,Em Andamento,Lucas Mendes,True,
TCK-1035,CLI-005,Falha na integração via API com ERP,Suporte & Erros,Baixa,2026-07-25 11:42:00,2026-07-25 17:20:24,2026-07-29 01:39:36,8,48,2.4,Fechado,Carlos Oliveira,True,False
TCK-1036,CLI-009,Implementação de filtro avançado na listagem,Desenvolvimento & Melhoria,Baixa,2026-03-18 14:01:00,2026-03-18 20:40:36,2026-03-19 11:50:12,8,48,8.5,Fechado,Carlos Oliveira,True,True
TCK-1037,CLI-009,Desenvolvimento de exportação em Excel customizada,Desenvolvimento & Melhoria,Média,2026-02-28 14:55:00,2026-02-28 16:40:00,2026-03-01 10:55:00,4,24,5.2,Fechado,Carlos Oliveira,True,True
TCK-1038,CLI-008,Implementação de filtro avançado na listagem,Desenvolvimento & Melhoria,Crítica,2026-07-19 11:25:00,2026-07-19 12:12:24,,1,4,3.9,Aguardando Cliente,Ana Silva,True,
